Make,Risk Score,Injury Rate,Survival Rate,Total Person
"tbm, sa",2.0,1.0,0.0,3
taylorcraft corporation,2.0,1.0,0.0,1
taylorcraft aviation corp.,2.0,1.0,0.0,1
taylorcraft aviation,2.0,1.0,0.0,1
eagle rnd,2.0,1.0,0.0,1
ealand charles,2.0,1.0,0.0,3
eames,2.0,1.0,0.0,1
taylor smith,2.0,1.0,0.0,1
easler kelly,2.0,1.0,0.0,1
farthing james w ii,2.0,1.0,0.0,1
fechtner,2.0,1.0,0.0,1
gildersleeve,2.0,1.0,0.0,1
garland,2.0,1.0,0.0,1
stern,2.0,1.0,0.0,1
galbreath,2.0,1.0,0.0,1
gallob,2.0,1.0,0.0,1
gamble,2.0,1.0,0.0,2
rajhamsa,2.0,1.0,0.0,1
stephen l kruer,2.0,1.0,0.0,1
stephen j hoffman,2.0,1.0,0.0,1
garlick helicopters inc.,2.0,1.0,0.0,1
ntbk,2.0,1.0,0.0,1
garlick/guppy,2.0,1.0,0.0,1
stephen f. graves,2.0,1.0,0.0,2
rally rotec,2.0,1.0,0.0,1
garrison ronald l,2.0,1.0,0.0,1
garro,2.0,1.0,0.0,1
gary a jamieson,2.0,1.0,0.0,1
gary e. wilson,2.0,1.0,0.0,1
gage,2.0,1.0,0.0,1
gadbois eugene w,2.0,1.0,0.0,1
gable,2.0,1.0,0.0,1
g-dawg llc,2.0,1.0,0.0,2
friling,2.0,1.0,0.0,1
friling/cothern,2.0,1.0,0.0,1
frimelt werner moni,2.0,1.0,0.0,1
steven ulrich,2.0,1.0,0.0,1
steven soper,2.0,1.0,0.0,1
steven r. jackson,2.0,1.0,0.0,1
froelich,2.0,1.0,0.0,1
steven kurtis,2.0,1.0,0.0,2
fueslein,2.0,1.0,0.0,1
fuhrmann-super emeraude,2.0,1.0,0.0,2
funk,2.0,1.0,0.0,1
steven g goonen,2.0,1.0,0.0,1
furlong,2.0,1.0,0.0,1
steven bornstein/thomas whitta,2.0,1.0,0.0,1
g&c helicopters,2.0,1.0,0.0,1
gary james lail,2.0,1.0,0.0,2
gary williams,2.0,1.0,0.0,1
steinorth,2.0,1.0,0.0,1
george,2.0,1.0,0.0,1
staudacher jon,2.0,1.0,0.0,2
george r. losey,2.0,1.0,0.0,2
gera,2.0,1.0,0.0,1
gerald g. holland,2.0,1.0,0.0,1
gerald nelson,2.0,1.0,0.0,2
statz,2.0,1.0,0.0,1
gerner,2.0,1.0,0.0,1
starr,2.0,1.0,0.0,1
giboney,2.0,1.0,0.0,1
gibson mark,2.0,1.0,0.0,1
gifford,2.0,1.0,0.0,1
giger frank r,2.0,1.0,0.0,1
raymon a. king,2.0,1.0,0.0,1
gilbert l. houston,2.0,1.0,0.0,1
gilchrist,2.0,1.0,0.0,2
george a chaffee,2.0,1.0,0.0,1
stearman aircraft,2.0,1.0,0.0,1
gaskins,2.0,1.0,0.0,2
general dynamics,2.0,1.0,0.0,2
ralph legate,2.0,1.0,0.0,1
gaston/lakes,2.0,1.0,0.0,2
gates lear jet corp.,2.0,1.0,0.0,2
north american rockwell,2.0,1.0,0.0,1
gatzemeyer 88,2.0,1.0,0.0,1
gavilan,2.0,1.0,0.0,4
rambow,2.0,1.0,0.0,3
geddes,2.0,1.0,0.0,1
gefa-flug gmbh,2.0,1.0,0.0,1
geide,2.0,1.0,0.0,2
geiling,2.0,1.0,0.0,1
norman negus,2.0,1.0,0.0,2
geldermann bert e,2.0,1.0,0.0,1
nordquist richard a,2.0,1.0,0.0,2
rammel thomas w,2.0,1.0,0.0,1
friddle,2.0,1.0,0.0,1
frey,2.0,1.0,0.0,1
freeman heritage collection,2.0,1.0,0.0,1
streifthau,2.0,1.0,0.0,1
stout,2.0,1.0,0.0,1
story charles brad,2.0,1.0,0.0,1
norton claude c,2.0,1.0,0.0,2
fisher michael h,2.0,1.0,0.0,2
fithian,2.0,1.0,0.0,2
flaglor tom,2.0,1.0,0.0,1
storch,2.0,1.0,0.0,1
fleming eldridge e,2.0,1.0,0.0,1
flight design general avn gmbh,2.0,1.0,0.0,2
flight works capella,2.0,1.0,0.0,1
flightstar,2.0,1.0,0.0,5
flightstar inc,2.0,1.0,0.0,3
flightstar sportplanes,2.0,1.0,0.0,4
stone,2.0,1.0,0.0,2
stoltzfus,2.0,1.0,0.0,1
stout gordon,2.0,1.0,0.0,2
stribling,2.0,1.0,0.0,1
stolt,2.0,1.0,0.0,1
"fink, charles h.",2.0,1.0,0.0,1
fehlner-shelton,2.0,1.0,0.0,1
strother,2.0,1.0,0.0,1
fennell,2.0,1.0,0.0,1
strong,2.0,1.0,0.0,2
ferdon,2.0,1.0,0.0,2
ference,2.0,1.0,0.0,1
ference john w,2.0,1.0,0.0,1
ferguson aircraft,2.0,1.0,0.0,2
striplin aircraft corporation,2.0,1.0,0.0,1
fernandez,2.0,1.0,0.0,1
stribling james l,2.0,1.0,0.0,1
fiebich paul dean,2.0,1.0,0.0,1
